iter	Passed	Remaining
0	163	162862
1	165	82419
2	167	55821
3	170	42447
4	173	34547
5	175	29104
6	177	25213
7	180	22403
8	183	20204
9	186	18460
10	188	16989
11	190	15712
12	192	14643
13	194	13701
14	196	12915
15	199	12278
16	202	11711
17	204	11154
18	206	10644
19	207	10184
20	210	9799
21	213	9484
22	216	9187
23	218	8873
24	219	8579
25	222	8317
26	223	8063
27	226	7846
28	228	7639
29	230	7447
30	232	7256
31	233	7073
32	235	6896
33	238	6764
34	240	6623
35	242	6494
36	244	6361
37	246	6239
38	248	6113
39	249	5993
40	251	5876
41	253	5772
42	254	5671
43	258	5621
44	261	5541
45	263	5455
46	265	5377
47	266	5291
48	268	5213
49	271	5153
50	273	5087
51	275	5023
52	277	4953
53	279	4902
54	281	4836
55	283	4778
56	285	4723
57	287	4673
58	290	4625
59	291	4566
60	293	4510
61	294	4461
62	296	4410
63	299	4381
64	301	4342
65	303	4294
66	304	4247
67	306	4199
68	308	4162
69	310	4119
70	311	4075
71	313	4039
72	315	4009
73	317	3973
74	319	3940
75	321	3902
76	322	3866
77	324	3832
78	325	3798
79	327	3765
80	329	3741
81	332	3726
82	334	3690
83	335	3661
84	337	3635
85	339	3605
86	340	3577
87	343	3559
88	346	3542
89	348	3522
90	350	3497
91	352	3479
92	354	3454
93	355	3428
94	358	3410
95	361	3405
96	363	3388
97	366	3374
98	368	3354
99	370	3334
100	372	3317
101	376	3311
102	378	3292
103	380	3277
104	382	3258
105	384	3241
106	386	3227
107	391	3230
108	394	3222
109	396	3209
110	399	3199
111	403	3197
112	406	3190
113	408	3175
114	410	3155
115	411	3136
116	413	3117
117	414	3099
118	416	3084
119	418	3070
120	421	3062
121	423	3046
122	425	3032
123	426	3015
124	428	2998
125	429	2981
126	431	2969
127	434	2959
128	437	2952
129	438	2937
130	440	2923
131	442	2910
132	444	2896
133	446	2884
134	448	2874
135	450	2863
136	452	2851
137	454	2836
138	455	2823
139	457	2813
140	459	2799
141	460	2782
142	463	2775
143	465	2769
144	468	2762
145	470	2751
146	471	2738
147	473	2726
148	475	2715
149	477	2707
150	481	2706
151	483	2697
152	485	2687
153	487	2677
154	489	2668
155	491	2659
156	493	2651
157	496	2646
158	498	2637
159	500	2627
160	503	2621
161	505	2612
162	507	2606
163	511	2607
164	514	2602
165	516	2594
166	518	2586
167	520	2578
168	523	2572
169	526	2571
170	528	2563
171	532	2563
172	535	2558
173	538	2558
174	541	2553
175	543	2545
176	545	2537
177	547	2530
178	551	2527
179	554	2524
180	557	2520
181	559	2516
182	561	2508
183	563	2500
184	566	2493
185	568	2488
186	570	2481
187	572	2473
188	574	2465
189	576	2458
190	579	2453
191	581	2448
192	584	2443
193	587	2440
194	589	2435
195	592	2430
196	594	2423
197	597	2420
198	600	2415
199	603	2413
200	606	2409
201	607	2401
202	610	2397
203	613	2394
204	615	2388
205	618	2383
206	620	2376
207	622	2368
208	624	2362
209	627	2359
210	629	2352
211	631	2347
212	633	2341
213	635	2333
214	637	2326
215	640	2324
216	643	2321
217	647	2321
218	650	2318
219	652	2312
220	654	2307
221	657	2304
222	660	2302
223	662	2295
224	664	2288
225	665	2280
226	667	2274
227	670	2271
228	674	2272
229	677	2268
230	679	2262
231	681	2255
232	684	2252
233	687	2250
234	691	2249
235	692	2242
236	694	2236
237	696	2230
238	699	2225
239	701	2222
240	704	2217
241	706	2213
242	708	2207
243	710	2200
244	712	2194
245	714	2190
246	718	2190
247	721	2188
248	723	2181
